iter	Passed	Remaining
1287	7964	22954
1288	7970	22948
1289	7977	22942
1290	7983	22936
1291	7989	22930
1292	7996	22924
1293	8002	22919
1294	8009	22915
1295	8016	22910
1296	8022	22905
1297	8029	22899
1298	8034	22892
1299	8040	22885
1300	8046	22877
1301	8052	22871
1302	8058	22864
1303	8064	22857
1304	8070	22851
1305	8076	22844
1306	8082	22836
1307	8088	22829
1308	8094	22823
1309	8100	22818
1310	8107	22812
1311	8113	22806
1312	8119	22800
1313	8125	22794
1314	8132	22788
1315	8138	22782
1316	8144	22776
1317	8150	22770
1318	8157	22764
1319	8163	22758
1320	8169	22753
1321	8175	22746
1322	8181	22739
1323	8188	22734
1324	8194	22728
1325	8200	22721
1326	8207	22717
1327	8214	22714
1328	8221	22709
1329	8227	22703
1330	8233	22696
1331	8240	22691
1332	8246	22685
1333	8252	22679
1334	8258	22672
1335	8264	22666
1336	8271	22660
1337	8277	22654
1338	8283	22649
1339	8290	22643
1340	8296	22637
1341	8303	22632
1342	8309	22627
1343	8315	22621
1344	8322	22615
1345	8328	22610
1346	8335	22604
1347	8341	22599
1348	8347	22593
1349	8354	22588
1350	8360	22582
1351	8367	22576
1352	8373	22570
1353	8379	22563
1354	8385	22557
1355	8391	22551
1356	8397	22545
1357	8405	22542
1358	8411	22536
1359	8417	22529
1360	8423	22522
1361	8429	22516
1362	8435	22510
1363	8441	22503
1364	8448	22498
1365	8454	22492
1366	8461	22486
1367	8467	22480
1368	8473	22473
1369	8479	22467
1370	8485	22460
1371	8491	22454
1372	8497	22448
1373	8504	22442
1374	8510	22436
1375	8516	22430
1376	8523	22425
1377	8529	22419
1378	8535	22413
1379	8541	22407
1380	8547	22400
1381	8554	22394
1382	8559	22387
1383	8566	22380
1384	8572	22374
1385	8578	22367
1386	8584	22362
1387	8590	22356
1388	8597	22351
1389	8604	22347
1390	8611	22342
1391	8617	22336
1392	8623	22329
1393	8629	22322
1394	8635	22316
1395	8642	22311
1396	8648	22305
1397	8654	22299
1398	8661	22293
1399	8667	22288
1400	8673	22281
1401	8680	22275
1402	8685	22269
1403	8691	22262
1404	8698	22255
1405	8703	22248
1406	8709	22241
1407	8715	22235
1408	8721	22228
1409	8728	22222
1410	8734	22216
1411	8740	22210
1412	8747	22205
1413	8752	22198
1414	8758	22191
1415	8765	22184
1416	8771	22178
1417	8777	22172
1418	8783	22166
1419	8790	22160
1420	8796	22154
1421	8802	22148
1422	8809	22144
1423	8815	22137
1424	8821	22131
1425	8827	22124
1426	8833	22118
1427	8840	22113
1428	8846	22107
1429	8853	22102
1430	8859	22095
1431	8865	22089
1432	8871	22083
1433	8877	22077
1434	8884	22071
1435	8890	22065
1436	8896	22059
1437	8903	22054
1438	8909	22048
1439	8916	22042
1440	8922	22037
1441	8928	22031
1442	8935	22026
1443	8942	22021
1444	8948	22014
1445	8954	22008
1446	8960	22002
1447	8967	21996
1448	8973	21990
1449	8979	21984
1450	8986	21979
1451	8992	21974
1452	8999	21968
1453	9006	21964
1454	9012	21957
1455	9018	21952
1456	9025	21947
1457	9031	21940
1458	9037	21934
1459	9043	21928
1460	9049	21920
1461	9055	21914
1462	9061	21908
1463	9068	21902
1464	9074	21896
1465	9080	21890
1466	9087	21885
1467	9093	21879
1468	9099	21872
1469	9105	21866
1470	9112	21860
1471	9118	21855
1472	9125	21849
1473	9131	21843
1474	9137	21835
1475	9142	21829
1476	9148	21821
1477	9154	21814
1478	9160	21806
1479	9165	21799
1480	9171	21791
1481	9177	21784
1482	9182	21777
1483	9188	21770
1484	9194	21763
1485	9200	21755
1486	9206	21750
1487	9212	21744
1488	9218	21737
1489	9224	21730
1490	9230	21722
1491	9236	21715
1492	9241	21708
1493	9247	21701
1494	9252	21693
1495	9258	21685
1496	9264	21678
1497	9269	21670
1498	9275	21663
1499	9281	21656
1500	9286	21648
1501	9292	21641
1502	9298	21635
1503	9304	21628
1504	9310	21620
1505	9315	21613
1506	9321	21605
1507	9327	21599
1508	9333	21593
1509	9340	21587
1510	9346	21580
1511	9352	21574
1512	9358	21567
1513	9364	21561
1514	9370	21554
1515	9376	21548
1516	9382	21542
1517	9389	21537
1518	9395	21530
1519	9402	21526
1520	9408	21519
1521	9414	21513
1522	9420	21507
1523	9427	21501
1524	9433	21495
1525	9438	21487
1526	9444	21481
1527	9450	21474
1528	9456	21467
1529	9462	21461
1530	9469	21455
1531	9475	21449
1532	9481	21442
1533	9487	21436
1534	9493	21430
1535	9499	21423
1536	9506	21418
1537	9512	21411
1538	9518	21404
1539	9524	21398
1540	9529	21391
1541	9535	21383
1542	9541	21376
1543	9546	21369
1544	9552	21362
1545	9558	21354
1546	9564	21347
1547	9570	21341
1548	9576	21334
1549	9582	21329
1550	9589	21323
1551	9596	21319
1552	9603	21314
1553	9609	21309
1554	9615	21303
1555	9621	21296
1556	9627	21289
1557	9633	21282
1558	9638	21275
1559	9644	21268
1560	9650	21260
1561	9656	21255
1562	9662	21248
1563	9668	21241
1564	9675	21236
1565	9681	21230
1566	9687	21222
1567	9692	21215
1568	9698	21208
1569	9704	21202
1570	9711	21196
1571	9717	21190
1572	9723	21183
1573	9729	21176
1574	9734	21169
1575	9740	21162
1576	9747	21157
1577	9753	21151
1578	9760	21145
1579	9766	21139
1580	9772	21133
1581	9778	21126
1582	9784	21120
1583	9791	21114
1584	9797	21109
1585	9803	21103
1586	9810	21097
1587	9817	21093
1588	9823	21088
1589	9830	21082
1590	9836	21077
1591	9843	21071
1592	9849	21065
1593	9856	21060
1594	9862	21055
1595	9868	21048
1596	9875	21043
1597	9882	21038
1598	9888	21032
1599	9894	21025
1600	9900	21019
1601	9906	21012
1602	9912	21006
1603	9919	21000
1604	9925	20994
1605	9931	20988
1606	9938	20983
1607	9944	20976
1608	9950	20971
1609	9957	20966
1610	9963	20960
1611	9970	20954
1612	9976	20948
1613	9982	20942
1614	9989	20936
1615	9995	20931
1616	10001	20925
1617	10008	20920
1618	10015	20916
1619	10021	20909
1620	10027	20903
1621	10034	20898
1622	10040	20892
1623	10046	20885
1624	10053	20879
1625	10059	20873
1626	10065	20867
1627	10071	20861
1628	10077	20854
1629	10084	20848
1630	10090	20843
1631	10096	20837
1632	10103	20832
1633	10109	20826
1634	10115	20819
1635	10121	20813
1636	10128	20807
1637	10134	20801
1638	10141	20795
1639	10147	20789
1640	10153	20782
1641	10159	20776
1642	10165	20770
1643	10171	20764
1644	10178	20759
1645	10185	20754
1646	10192	20749
1647	10198	20743
1648	10205	20738
1649	10211	20732
1650	10217	20726
1651	10223	20719
1652	10230	20714
1653	10236	20708
1654	10243	20703
1655	10249	20697
1656	10256	20691
1657	10262	20685
1658	10268	20680
1659	10275	20674
1660	10282	20669
1661	10288	20663
1662	10294	20656
1663	10300	20651
1664	10307	20645
1665	10313	20639
1666	10319	20632
1667	10325	20626
1668	10331	20620
1669	10338	20614
1670	10344	20608
1671	10350	20602
1672	10357	20596
1673	10363	20590
1674	10369	20584
1675	10376	20579
1676	10383	20575
1677	10390	20570
1678	10397	20565
